Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
151,Bangalore,Bangalore,Wheat,Local,FAQ,2500,3500,3000,18 Jan 2020
152,Bangalore,Bangalore,Wheat,Local,FAQ,2900,3400,3150,28 Jan 2020
153,Unnao,Bangarmau,Wheat,Dara,FAQ,1950,2050,2000,04 Jan 2020
154,Unnao,Bangarmau,Wheat,Dara,FAQ,1950,2050,2000,10 Jan 2020
155,Hoshangabad,Bankhedi,Wheat,Other,FAQ,2141,2175,2165,17 Jan 2020
156,Hoshangabad,Bankhedi,Wheat,Other,FAQ,2170,2175,2170,16 Jan 2020
157,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1900,1850,07 Jan 2020
158,Pune,Baramati,Wheat,Kalyan,FAQ,2000,2200,2125,02 Jan 2020
159,Baran,Baran,Wheat,Other,FAQ,2001,2157,2091,27 Jan 2020
160,Deoria,Barhaj,Wheat,Dara,FAQ,1920,1940,1930,01 Jan 2020
161,Chittorgarh,Barisadri,Wheat,Other,FAQ,2171,2432,2250,13 Jan 2020
162,Alwar,Barodamev,Wheat,Other,FAQ,2150,2166,2159,18 Jan 2020
163,Alwar,Barodamev,Wheat,Other,FAQ,2171,2171,2171,17 Jan 2020
164,Badaun,Babrala,Wheat,Dara,FAQ,1950,2050,2000,06 Jan 2020
165,Chhatarpur,Badamalhera,Wheat,Other,FAQ,2000,2120,2019,15 Jan 2020
166,Badaun,Badayoun,Wheat,Dara,FAQ,2050,2110,2080,01 Jan 2020
167,Badaun,Badayoun,Wheat,Dara,FAQ,2050,2140,2080,14 Jan 2020
168,Badaun,Badayoun,Wheat,Local,FAQ,2060,2150,2100,31 Jan 2020
169,Shahjahanpur,Badda,Wheat,Dara,FAQ,1970,1990,1980,19 Jan 2020
170,Shahjahanpur,Badda,Wheat,Dara,FAQ,1970,1990,1980,21 Jan 2020
171,Ujjain,Badnagar,Wheat,Lokwan,FAQ,1951,2400,2120,30 Jan 2020
172,Shajapur,Badod,Wheat,Other,FAQ,2190,2245,2217,18 Jan 2020
173,Khargone,Badwaha,Wheat,Lokwan,FAQ,2099,2130,2114,31 Jan 2020
174,Amreli,Bagasara,Wheat,Lokwan Gujrat,FAQ,2000,2225,2112,28 Jan 2020
175,Rewa,Baikunthpur,Wheat,Dara Mill Quality,FAQ,1910,1985,1950,25 Jan 2020
176,Ballia,Ballia,Wheat,Dara,FAQ,2000,2100,2040,24 Jan 2020
177,Balrampur,Balrampur,Wheat,Dara,FAQ,1900,2000,1975,06 Jan 2020
178,Balrampur,Balrampur,Wheat,Dara,FAQ,1900,2050,2000,11 Jan 2020
179,Badwani,Balwadi,Wheat,Lokwan,FAQ,1910,2050,2000,07 Jan 2020
180,Hoshangabad,Banapura,Wheat,Mill Quality,FAQ,1890,2085,2060,20 Jan 2020
181,Hoshangabad,Banapura,Wheat,Mill Quality,FAQ,1951,2250,2185,08 Jan 2020
182,Sagar,Banda,Wheat,147 Average,FAQ,2100,2150,2125,13 Jan 2020
183,Banda,Banda,Wheat,Dara,FAQ,1950,2000,1975,31 Jan 2020
184,Dausa,Bandikui,Wheat,Other,FAQ,2202,2320,2252,06 Jan 2020
185,Dausa,Bandikui(Geejgarh),Wheat,Other,FAQ,1920,2207,2063,09 Jan 2020
186,Dausa,Bandikui(Geejgarh),Wheat,Other,FAQ,2195,2195,2195,15 Jan 2020
187,Bangalore,Bangalore,Wheat,Local,FAQ,2500,3500,3000,10 Jan 2020
188,Hoshangabad,Bankhedi,Wheat,Other,FAQ,2141,2150,2141,04 Jan 2020
189,Barabanki,Barabanki,Wheat,Dara,FAQ,1940,1970,1960,21 Jan 2020
190,Shivpuri,Barad,Wheat,Local,FAQ,1925,2000,1950,30 Jan 2020
191,Pune,Baramati,Wheat,Kalyan,FAQ,1900,2200,2111,16 Jan 2020
192,Baran,Baran,Wheat,Other,FAQ,2000,2265,2150,09 Jan 2020
193,Baghpat,Baraut,Wheat,Dara,FAQ,1900,1920,1910,06 Jan 2020
194,Bareilly,Bareilly,Wheat,Dara,FAQ,2000,2150,2100,01 Jan 2020
195,Bareilly,Bareilly,Wheat,Dara,FAQ,2025,2150,2075,30 Jan 2020
196,Bareilly,Bareilly,Wheat,Dara,FAQ,2050,2150,2100,21 Jan 2020
197,Bareilly,Bareilly,Wheat,Dara,FAQ,2050,2200,2120,20 Jan 2020
